estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
36.0,151.0,2,10,0,0.0,0.0,0.0,,
12.96,67.0,2,1,0,0.0,1.0,0.0,,
34.56,200.0,6,1,0,0.0,0.0,0.0,,
56.88,54.0,3,1,1,0.0,1.0,0.0,,
58.08,679.0,1,3,1,0.0,0.0,0.0,,
23.04,55.0,1,1,0,0.0,1.0,0.0,,
22.32,130.0,3,1,0,0.0,0.0,0.0,,
134.39999999999998,59.0,2,1,1,0.0,1.0,0.0,,
7.92,151.0,3,12,0,0.0,0.0,0.0,,
30.96,184.0,3,12,0,0.0,0.0,0.0,,
74.39999999999999,84.0,5,11,1,0.0,0.0,0.0,,
14.4,38.0,2,2,0,0.0,1.0,0.0,,
20.4,40.0,5,2,0,0.0,1.0,0.0,,
15.84,170.0,3,5,0,0.0,0.0,0.0,,
91.68,110.0,2,1,1,0.0,0.0,0.0,,
48.71999999999999,40.0,7,1,1,0.0,1.0,0.0,,
18.24,529.0,4,1,0,0.0,0.0,0.0,,
35.28,181.0,3,7,0,0.0,0.0,0.0,,
8.64,166.0,1,3,0,0.0,0.0,0.0,,
74.88,178.0,3,1,1,0.0,0.0,0.0,,
90.24,400.0,2,3,1,0.0,0.0,0.0,,
112.8,59.0,2,1,1,0.0,1.0,0.0,,
100.8,105.0,4,1,1,0.0,1.0,0.0,,
65.28,162.0,4,1,1,0.0,0.0,0.0,,
28.8,45.0,5,1,0,0.0,1.0,0.0,,
5.76,86.0,2,4,0,0.0,1.0,0.0,,
16.800000000000004,350.0,7,1,0,0.0,0.0,0.0,,
38.16,45.0,3,1,0,0.0,1.0,0.0,,
30.24,41.0,14,3,0,0.0,1.0,0.0,,
66.0,400.0,5,2,1,0.0,0.0,0.0,,
53.28,40.0,1,1,1,0.0,1.0,0.0,,
33.6,382.0,5,2,0,0.0,0.0,0.0,,
10.08,114.0,1,1,0,0.0,0.0,0.0,,
3.36,50.0,14,1,0,0.0,1.0,0.0,,
136.8,55.0,2,1,1,0.0,1.0,0.0,,
37.44,370.0,2,2,0,0.0,0.0,0.0,,
44.64,901.0,186,1,0,0.0,0.0,0.0,,
157.20000000000002,66.0,5,2,1,0.0,1.0,0.0,,
53.28,48.0,3,5,1,0.0,1.0,0.0,,
70.56,85.0,1,7,1,0.0,1.0,0.0,,
31.92,285.0,7,2,0,0.0,0.0,0.0,,
21.84,175.0,7,3,0,0.0,0.0,0.0,,
3.84,180.0,2,1,0,0.0,0.0,0.0,,
5.28,40.0,2,1,0,0.0,1.0,0.0,,
53.04,245.0,13,2,1,0.0,0.0,0.0,,
518.4000000000001,189.0,60,1,1,0.0,0.0,0.0,,
33.120000000000005,59.0,3,72,0,0.0,0.0,0.0,,
19.44,199.0,3,3,0,0.0,0.0,0.0,,
25.92,91.0,1,11,0,0.0,0.0,0.0,,
3.3600000000000003,406.0,2,2,0,0.0,0.0,0.0,,
193.2,120.0,7,2,1,0.0,1.0,0.0,,
179.52,207.0,17,1,1,0.0,0.0,0.0,,
23.04,79.0,2,3,0,0.0,1.0,0.0,,
36.96,370.0,2,4,0,0.0,0.0,0.0,,
95.76,54.0,3,3,1,0.0,1.0,0.0,,
6.720000000000001,48.0,1,2,0,0.0,1.0,0.0,,
813.12,130.0,28,26,1,0.0,0.0,0.0,,
42.72,300.0,2,2,0,0.0,0.0,0.0,,
7.92,125.0,3,24,0,0.0,0.0,0.0,,
58.32000000000001,170.0,3,7,1,0.0,0.0,0.0,,
