id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,estimated_nights_booked
47192,Rental unit in London · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,212734,Dino,,Camden,51.52958,-0.14344,Private room,59.0,2,450,2023-12-04,2.8,1,309,26,,134
92399,Guest suite in London · ★4.84 · 1 bedroom · 1 bed · 1 bath,497366,Helen,,Islington,51.55104,-0.08324,Entire home/apt,110.0,2,289,2023-11-21,1.91,1,338,27,,91
340435,Rental unit in London · ★4.89 · 1 bedroom · 3 beds · 1 shared bath,1727431,Kenny,,Hammersmith and Fulham,51.50743,-0.22568,Private room,59.0,2,337,2022-02-25,2.35,1,153,0,,112
367207,Rental unit in London · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,1844072,Mary,,Westminster,51.51882,-0.14108,Private room,105.0,4,148,2023-10-23,1.05,1,239,10,,100
530395,Condo in London · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,2604545,Pierre,,Ealing,51.50691,-0.24924,Private room,55.0,2,388,2023-12-09,2.85,1,239,54,,136
427936,Condo in London · ★4.98 · 1 bedroom · 1 bed · 1 private bath,2126954,Carmen,,Hackney,51.54544,-0.07344,Private room,66.0,5,185,2023-12-05,1.31,2,55,13,,157
461987,Townhouse in London · ★4.80 · 2 bedrooms · 3 beds · 2 baths,2296025,Vanessa,,Hackney,51.54474,-0.06352,Entire home/apt,189.0,60,49,2023-06-12,0.36,1,250,1,,518
919261,Loft in London · ★4.84 · 1 bedroom · 2 beds · 1 private bath,167441,Sara,,Hackney,51.52248,-0.07705,Private room,120.0,7,150,2023-11-20,1.15,2,42,11,,193
929106,Rental unit in London · ★4.86 · 2 bedrooms · 2 beds · 2 baths,4826200,Robin,,Kensington and Chelsea,51.4954,-0.19073,Entire home/apt,207.0,17,58,2023-01-08,0.44,1,18,1,,179
487430,Home in Mitcham · ★4.48 · 1 bedroom · 4 beds · 3 shared baths,2398949,Verginett,,Merton,51.41583,-0.14898,Private room,54.0,3,137,2023-10-09,1.33,3,356,14,,95
542646,Rental unit in London · ★4.55 · 1 bedroom · 2 beds · 1 bath,949926,Tobias & Annette,,Hammersmith and Fulham,51.49557,-0.22843,Entire home/apt,130.0,28,163,2023-11-20,1.21,26,238,5,,813
571265,Home in London · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,2565699,Manuel And Cecilia,,Haringey,51.57895,-0.07607,Private room,42.0,2,340,2023-12-09,2.46,3,304,38,,118
1002787,Home in London · ★4.84 · 1 bedroom · 2 beds · 1 private bath,4365977,Alexandra,,Ealing,51.50827,-0.28149,Private room,43.0,3,196,2023-11-24,1.51,5,131,31,,108
590575,Rental unit in London · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,2914419,Liz,,Camden,51.55881,-0.14118,Private room,59.0,7,171,2023-11-28,1.24,1,179,18,,208
599058,Condo in London · ★4.61 · 1 bedroom · 1 bed · 1 private bath,2963769,Tim,,Westminster,51.51556,-0.16527,Private room,135.0,1,540,2023-12-01,3.93,3,193,24,,94
1220145,Condo in London · ★4.97 · 1 bedroom · 1 bed · 1 private bath,6655947,Robert,,Westminster,51.51363,-0.17401,Private room,170.0,3,396,2023-11-28,3.1,1,143,50,,223
714723,Rental unit in London · ★4.76 · 2 bedrooms · 2 beds · 1 bath,3373659,Carolyn,,Tower Hamlets,51.50921,-0.06122,Entire home/apt,155.0,4,183,2023-11-19,1.35,1,35,15,,129
726882,Serviced apartment in London · ★4.52 · 1 bedroom · 1 bed · 1 shared bath,2608240,Zdenka & Luis,,Hammersmith and Fulham,51.48794,-0.20358,Private room,52.0,3,298,2023-11-22,2.21,6,42,43,,159
745091,Rental unit in London · ★4.54 · 1 bedroom · 1 bed · 1.5 shared baths,2695724,Irena,,Camden,51.55038,-0.16662,Private room,50.0,50,83,2023-11-26,0.62,5,224,8,,744
1296836,Rental unit in Westminster · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,7050882,Michael,,Westminster,51.51199,-0.12693,Private room,65.0,1,559,2020-10-26,4.47,1,49,0,,107
2158844,Rental unit in Greater London · ★4.31 · 1 bedroom · 1 bed · 1 bath,11016143,Nicolas,,Hackney,51.52845,-0.07987,Entire home/apt,99.0,3,186,2023-07-31,1.59,1,71,20,,114
