Borough_code,Borough_name,Monthly_rent_2023,Ratio_to_average,Vacant,Vacant_Ratio,Total_listings,More_than_90,Ratio_of_more_than_90
E09000002,Barking and Dagenham,1354,0.750450326,1428,0.08677,485,68,0.1402
E09000003,Barnet,1691,0.937231537,4614,0.48083,1628,243,0.1493
E09000004,Bexley,1267,0.702230844,1884,7.91597,441,39,0.0884
E09000005,Brent,1628,0.902313981,2813,0.31767,1913,373,0.195
E09000006,Bromley,1457,0.807537758,3700,23.87097,576,90,0.1562
E09000007,Camden,2470,1.368989885,4320,0.1897,3831,919,0.2399
E09000008,Croydon,1324,0.733822918,3946,0.2933,1167,193,0.1654
E09000009,Ealing,1718,0.952196203,3155,0.2801,1502,255,0.1698
E09000010,Enfield,1485,0.823056672,3029,0.29058,636,73,0.1148
E09000011,Greenwich,1639,0.908410697,2423,0.11626,1402,237,0.169
E09000012,Hackney,2148,1.190522378,2174,0.10066,3241,705,0.2175
E09000013,Hammersmith and Fulham,2390,1.324650132,1259,0.10468,2526,540,0.2138
E09000014,Haringey,1861,1.031453513,3066,0.20244,1457,268,0.1839
E09000015,Harrow,1496,0.829153388,2972,0.60591,392,67,0.1709
E09000016,Havering,1290,0.714978523,2191,0.23519,336,36,0.1071
E09000017,Hillingdon,1332,0.738256893,1651,0.16059,673,65,0.0966
E09000018,Hounslow,1627,0.901759734,3582,0.25943,879,122,0.1388
E09000019,Islington,2315,1.283081613,2239,0.0883,2576,596,0.2314
E09000020,Kensington and Chelsea,3152,1.746986282,3110,0.44877,4324,904,0.2091
E09000021,Kingston upon Thames,1581,0.876264376,1981,0.43009,480,84,0.175
E09000022,Lambeth,2079,1.15227934,3553,0.14837,2779,643,0.2314
E09000023,Lewisham,1567,0.868504919,2389,0.16953,1625,276,0.1698
E09000024,Merton,1814,1.005403907,2550,30.72289,933,101,0.1083
E09000025,Newham,1640,0.908964944,3812,0.24356,1572,242,0.1539
E09000026,Redbridge,1436,0.795898573,2394,0.52848,650,65,0.1
E09000027,Richmond upon Thames,1873,1.038104476,1734,0,832,152,0.1827
E09000028,Southwark,2114,1.171677983,5143,0.13564,2917,720,0.2468
E09000029,Sutton,1292,0.716087017,2366,0.39043,285,39,0.1368
E09000030,Tower Hamlets,2096,1.161701538,2661,0.23169,4191,1037,0.2474
E09000031,Waltham Forest,1515,0.839684079,2454,0.25341,1167,166,0.1422
E09000032,Wandsworth,2204,1.221560205,852,0.04948,2803,522,0.1862
E09000033,Westminster,2881,1.596785368,2002,0.16643,7141,1680,0.2353
E09000001,City of London,,,316,0.70067,421,142,0.3373
