Borough_code,Borough_name,Monthly_rent_2023,Ratio_to_average
E09000002,Barking and Dagenham,1354,0.750450326
E09000003,Barnet,1691,0.937231537
E09000004,Bexley,1267,0.702230844
E09000005,Brent,1628,0.902313981
E09000006,Bromley,1457,0.807537758
E09000007,Camden,2470,1.368989885
E09000008,Croydon,1324,0.733822918
E09000009,Ealing,1718,0.952196203
E09000010,Enfield,1485,0.823056672
E09000011,Greenwich,1639,0.908410697
E09000012,Hackney,2148,1.190522378
E09000013,Hammersmith and Fulham,2390,1.324650132
E09000014,Haringey,1861,1.031453513
E09000015,Harrow,1496,0.829153388
E09000016,Havering,1290,0.714978523
E09000017,Hillingdon,1332,0.738256893
E09000018,Hounslow,1627,0.901759734
E09000019,Islington,2315,1.283081613
E09000020,Kensington and Chelsea,3152,1.746986282
E09000021,Kingston upon Thames,1581,0.876264376
E09000022,Lambeth,2079,1.15227934
E09000023,Lewisham,1567,0.868504919
E09000024,Merton,1814,1.005403907
E09000025,Newham,1640,0.908964944
E09000026,Redbridge,1436,0.795898573
E09000027,Richmond upon Thames,1873,1.038104476
E09000028,Southwark,2114,1.171677983
E09000029,Sutton,1292,0.716087017
E09000030,Tower Hamlets,2096,1.161701538
E09000031,Waltham Forest,1515,0.839684079
E09000032,Wandsworth,2204,1.221560205
E09000033,Westminster,2881,1.596785368
