Borough_code,Borough,Dwellings,Vacant,Vacant_Ratio
E09000033,Westminster,12029,2002,0.16643 
E09000032,Wandsworth,17218,852,0.04948 
E09000031,Waltham Forest,9684,2454,0.25341 
E09000030,Tower Hamlets,11485,2661,0.23169 
E09000029,Sutton,6060,2366,0.39043 
E09000028,Southwark,37916,5143,0.13564 
E09000027,Richmond upon Thames,0,1734,0.00000 
E09000026,Redbridge,4530,2394,0.52848 
E09000025,Newham,15651,3812,0.24356 
E09000024,Merton,83,2550,30.72289 
E09000023,Lewisham,14092,2389,0.16953 
E09000022,Lambeth,23947,3553,0.14837 
E09000021,Kingston upon Thames,4606,1981,0.43009 
E09000020,Kensington and Chelsea,6930,3110,0.44877 
E09000019,Islington,25357,2239,0.08830 
E09000018,Hounslow,13807,3582,0.25943 
E09000017,Hillingdon,10281,1651,0.16059 
E09000016,Havering,9316,2191,0.23519 
E09000015,Harrow,4905,2972,0.60591 
E09000014,Haringey,15145,3066,0.20244 
E09000013,Hammersmith and Fulham,12027,1259,0.10468 
E09000012,Hackney,21597,2174,0.10066 
E09000011,Greenwich,20842,2423,0.11626 
E09000010,Enfield,10424,3029,0.29058 
E09000009,Ealing,11264,3155,0.28010 
E09000008,Croydon,13454,3946,0.29330 
E09000007,Camden,22773,4320,0.18970 
E09000006,Bromley,155,3700,23.87097 
E09000005,Brent,8855,2813,0.31767 
E09000004,Bexley,238,1884,7.91597 
E09000003,Barnet,9596,4614,0.48083 
E09000002,Barking and Dagenham,16457,1428,0.08677 
E09000001,City of London,451,316,0.70067 
